               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,            0.026483,            0.019422,                   0,             0.88528,             0.80247,             0.86565,             0.59437,            0.024068,            0.014999,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,            0.028258,            0.018539,                   0,             0.86662,             0.79012,             0.85903,              0.6165,             0.02393,            0.016201,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.027373,            0.019238,                   0,             0.88584,             0.76543,             0.82732,             0.60512,            0.023335,            0.015362,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.029149,            0.017425,                   0,             0.93728,             0.75309,             0.83267,             0.59453,            0.024692,            0.015654,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.029447,            0.016914,                   0,             0.86482,             0.78985,             0.83117,             0.57806,            0.025024,            0.015676,                   0,           0.0061142,           0.0061142,           0.0061142
                 159,            0.028414,            0.017823,                   0,             0.81534,             0.77778,             0.80773,             0.53895,            0.028256,            0.017252,                   0,           0.0060895,           0.0060895,           0.0060895
                 160,            0.026976,              0.0194,                   0,             0.86861,             0.81481,             0.85154,              0.6041,            0.022902,            0.015568,                   0,           0.0060647,           0.0060647,           0.0060647
                 161,            0.026221,            0.020977,                   0,             0.88681,             0.82716,             0.86912,             0.61701,            0.023127,            0.014479,                   0,             0.00604,             0.00604,             0.00604
                 162,             0.02876,            0.019692,                   0,             0.91467,             0.79406,             0.87514,             0.60556,            0.024614,            0.014605,                   0,           0.0060152,           0.0060152,           0.0060152
                 163,            0.027919,            0.018464,                   0,             0.90832,             0.76543,             0.88217,             0.62879,            0.024319,            0.014491,                   0,           0.0059905,           0.0059905,           0.0059905
                 164,            0.024832,            0.017995,                   0,             0.94098,             0.78732,             0.89449,              0.6086,            0.025073,            0.014675,                   0,           0.0059658,           0.0059658,           0.0059658
                 165,            0.026454,            0.019645,                   0,             0.93871,             0.75641,             0.86208,             0.61323,            0.023941,            0.014679,                   0,            0.005941,            0.005941,            0.005941
